Capacity (MW),Status,Start Year,Latitude,Longitude
10.0,Operating,2014.0,28.4624,-0.0576
1100.0,Construction,2026.0,26.254,29.2675
10000.0,Accounced,-1.0,26.5583,31.6773
160.0,Construction,-1.0,29.6607,32.3314
502.0,Construction,2025.0,28.1338,33.2602
250.0,Construction,2023.0,28.3553,33.0622
240.0,Operating,2018.0,25.8577,34.4182
220.0,Operating,2018.0,25.8577,34.4182
120.0,Operating,2018.0,25.8577,34.4182
263.0,Operating,2019.0,28.4005,32.9572
500.0,Construction,2025.0,28.1338,33.2602
252.0,Operating,2021.0,28.1338,33.2602
30.0,Operating,2000.0,29.1988,32.621
33.0,Operating,2001.0,29.1988,32.621
30.0,Operating,2003.0,29.1988,32.621
47.0,Operating,2004.0,29.1988,32.621
85.0,Operating,2006.0,29.1988,32.621
80.0,Operating,2008.0,29.1988,32.621
120.0,Operating,2009.0,29.1988,32.621
121.0,Operating,-1.0,29.1988,32.621
7500.0,Accounced,-1.0,28.4372,-11.0993
2500.0,Accounced,-1.0,32.8868,-5.9422
2500.0,Accounced,-1.0,32.8868,-5.9422
102.0,Operating,2014.0,27.9538,-11.9975
100.0,Operating,2016.0,27.9538,-11.9975
54.0,Operating,2000.0,35.8184,-5.4538
200.0,Construction,2024.0,35.8184,-5.4538
120.0,Construction,-1.0,35.8184,-5.4538
60.0,Operating,2007.0,31.3973,-9.8067
108.0,Construction,2024.0,31.6634,-7.8741
51.0,Operating,2014.0,35.8054,-5.493
270.0,Construction,2023.0,31.6634,-7.8741
120.0,Operating,2021.0,35.7609,-5.576
10.0,Operating,2005.0,35.6063,-5.4385
10.0,Operating,2008.0,35.6063,-5.4385
12.0,Operating,2009.0,35.6063,-5.4385
210.0,Operating,2020.0,32.722,-4.6565
18.0,Operating,2022.0,31.6634,-7.8741
17.0,Operating,2022.0,31.6634,-7.8741
107.0,Operating,2009.0,35.6471,-5.606
33.0,Operating,2011.0,35.6467,-5.6078
300.0,Operating,2014.0,35.611,-5.432
87.0,Operating,2022.0,34.2553,-4.0049
5000.0,Accounced,2027.0,28.9884,-10.0508
60.0,Operating,-1.0,37.0856,9.8669
34.0,Operating,-1.0,37.0856,9.8669
60.0,Operating,-1.0,37.1557,10.1448
34.0,Operating,-1.0,37.1557,10.1448
75.0,Accounced,2025.0,33.4284,9.5168
75.0,Accounced,2025.0,33.4284,9.5168
75.0,Accounced,2025.0,33.4284,9.5168
75.0,Accounced,2025.0,33.4284,9.5168
75.0,Accounced,2025.0,33.4284,9.5168
75.0,Accounced,2025.0,33.4284,9.5168
75.0,Accounced,2025.0,33.4284,9.5168
10.0,Operating,2000.0,37.1946,10.061
55.0,Operating,2009.0,37.1946,10.061
30.0,Construction,-1.0,36.9951,9.4765
202.0,Operating,2018.0,25.7431,-14.5929
200.0,Construction,2023.0,25.7431,-14.5929
100.0,Construction,2023.0,24.1797,-13.7668
300.0,Operating,2023.0,24.1682,-13.8921
51.0,Operating,2013.0,27.0182,-13.3838
80.0,Construction,2023.0,26.7301,-12.9767
13.0,Accounced,-1.0,15.0934,-23.6478
40.0,Accounced,-1.0,5.6542,10.09
100.0,Operating,-1.0,4.8918,12.3598
100.0,Accounced,2025.0,12.1232,15.0712
5000.0,Accounced,-1.0,12.0494,42.9283
59.0,Construction,-1.0,11.5484,42.4504
51.0,Operating,2012.0,8.5449,39.2301
153.0,Operating,2015.0,8.5449,39.2301
150.0,Accounced,-1.0,10.4416,42.2417
30.0,Operating,2013.0,13.4255,39.5735
