YEAR,LATITUDE,LONGITUDE,COUNTRY
2014,28.4624,-0.0576,Algeria
2026,26.254,29.2675,Egypt
-1,26.5583,31.6773,Egypt
-1,29.6607,32.3314,Egypt
2025,28.1338,33.2602,Egypt
2023,28.3553,33.0622,Egypt
2018,25.8577,34.4182,Egypt
2018,25.8577,34.4182,Egypt
2018,25.8577,34.4182,Egypt
2019,28.4005,32.9572,Egypt
2025,28.1338,33.2602,Egypt
2021,28.1338,33.2602,Egypt
2000,29.1988,32.621,Egypt
2001,29.1988,32.621,Egypt
2003,29.1988,32.621,Egypt
2004,29.1988,32.621,Egypt
2006,29.1988,32.621,Egypt
2008,29.1988,32.621,Egypt
2009,29.1988,32.621,Egypt
-1,29.1988,32.621,Egypt
-1,28.4372,-11.0993,Morocco
-1,32.8868,-5.9422,Morocco
-1,32.8868,-5.9422,Morocco
2014,27.9538,-11.9975,Morocco
2016,27.9538,-11.9975,Morocco
2000,35.8184,-5.4538,Morocco
2024,35.8184,-5.4538,Morocco
-1,35.8184,-5.4538,Morocco
2007,31.3973,-9.8067,Morocco
2024,31.6634,-7.8741,Morocco
2014,35.8054,-5.493,Morocco
2023,31.6634,-7.8741,Morocco
2021,35.7609,-5.576,Morocco
2005,35.6063,-5.4385,Morocco
2008,35.6063,-5.4385,Morocco
2009,35.6063,-5.4385,Morocco
2020,32.722,-4.6565,Morocco
2022,31.6634,-7.8741,Morocco
2022,31.6634,-7.8741,Morocco
2009,35.6471,-5.606,Morocco
2011,35.6467,-5.6078,Morocco
2014,35.611,-5.432,Morocco
2022,34.2553,-4.0049,Morocco
2027,28.9884,-10.0508,Morocco
-1,37.0856,9.8669,Tunisia
-1,37.0856,9.8669,Tunisia
-1,37.1557,10.1448,Tunisia
-1,37.1557,10.1448,Tunisia
2025,33.4284,9.5168,Tunisia
2025,33.4284,9.5168,Tunisia
2025,33.4284,9.5168,Tunisia
2025,33.4284,9.5168,Tunisia
2025,33.4284,9.5168,Tunisia
2025,33.4284,9.5168,Tunisia
2025,33.4284,9.5168,Tunisia
2000,37.1946,10.061,Tunisia
2009,37.1946,10.061,Tunisia
-1,36.9951,9.4765,Tunisia
2018,25.7431,-14.5929,Morocco
2023,25.7431,-14.5929,Morocco
2023,24.1797,-13.7668,Morocco
2023,24.1682,-13.8921,Morocco
2013,27.0182,-13.3838,Morocco
2023,26.7301,-12.9767,Morocco
-1,15.0934,-23.6478,Cabo Verde
-1,5.6542,10.09,Cameroon
-1,4.8918,12.3598,Cameroon
2025,12.1232,15.0712,Chad
-1,12.0494,42.9283,Djibouti
-1,11.5484,42.4504,Djibouti
2012,8.5449,39.2301,Ethiopia
2015,8.5449,39.2301,Ethiopia
-1,10.4416,42.2417,Ethiopia
2013,13.4255,39.5735,Ethiopia
2013,13.4255,39.5735,Ethiopia
2013,13.4255,39.5735,Ethiopia
2023,8.1726,39.2017,Ethiopia
2025,8.1726,39.2017,Ethiopia
2017,10.6971,42.5919,Ethiopia
2022,10.7538,42.5703,Ethiopia
-1,10.7538,42.5703,Ethiopia
-1,9.4253,39.3579,Ethiopia
-1,11.9037,41.7765,Ethiopia
-1,5.9167,0.3809,Ghana
-1,2.7053,38.087,Kenya
2021,-2.5462,36.7916,Kenya
-1,1.2737,37.0532,Kenya
2021,-3.627,39.8518,Kenya
2021,-1.7196,36.6945,Kenya
2019,2.4891,36.7932,Kenya
2019,2.4891,36.7932,Kenya
2013,-1.3803,36.638,Kenya
2015,-1.3803,36.638,Kenya
2021,-1.3803,36.638,Kenya
-1,-15.4545,47.1563,Madagascar
2024,-25.0667,46.9635,Madagascar
-1,-11.8934,33.5888,Malawi
-1,19.4,-10.2479,Mauritania
2022,21.2663,-16.6976,Mauritania
-1,18.1313,-15.9076,Mauritania
-1,18.1313,-15.9076,Mauritania
2016,17.9651,-15.9851,Mauritania
-1,19.2341,-16.3343,Mauritania
-1,-23.8789,35.3945,Mozambique
2023,-26.0736,32.1755,Mozambique
-1,-26.6297,15.1705,Namibia
2025,-26.4872,15.1013,Namibia
2025,14.9531,5.0184,Niger
2021,12.8361,7.6639,Nigeria
-1,-20.9489,55.5944,France
-1,-21.1816,55.7782,France
-1,15.8371,-16.3399,Senegal
2019,15.0101,-16.8594,Senegal
2020,15.0101,-16.8594,Senegal
2020,15.0101,-16.8594,Senegal
2016,-32.692,26.1083,South Africa
-1,-30.6515,24.0186,South Africa
2015,-32.5901,27.9623,South Africa
2024,-31.4022,24.8035,South Africa
